pair_a,pair_b,sector,tick_minutes,model,pair_selection,position_policy,cointegration_policy,exec_delay_ticks,param_grid_size,sharpe,committed_return_annual,invested_return_annual,num_trades,hit_rate,max_drawdown,avg_holding_minutes
RELIANCE,BPCL,Energy,5,Classical,Ranked,Carry,RollingCheck,0,16,1.0,0.1659,0.1525,163,0.516,0.128,25.1
RELIANCE,BPCL,Energy,5,Classical,Ranked,Carry,RollingCheck,1,16,0.61,0.0942,0.0712,183,0.404,0.068,17.2
RELIANCE,BPCL,Energy,5,Classical,Ranked,Carry,SkipCheck,0,16,0.9,0.2094,0.165,169,0.393,0.101,23.0
RELIANCE,BPCL,Energy,5,Classical,Ranked,Carry,SkipCheck,1,16,0.96,0.1398,0.0998,162,0.519,0.102,18.5
RELIANCE,BPCL,Energy,5,Classical,Ranked,EOD_Flat,RollingCheck,0,16,0.84,0.2056,0.1514,171,0.5,0.113,21.9
RELIANCE,BPCL,Energy,5,Classical,Ranked,EOD_Flat,RollingCheck,1,16,0.5,0.1308,0.1119,160,0.51,0.142,20.9
RELIANCE,BPCL,Energy,5,Classical,Ranked,EOD_Flat,SkipCheck,0,16,0.94,0.171,0.1396,191,0.473,0.08,15.6
RELIANCE,BPCL,Energy,5,Classical,Ranked,EOD_Flat,SkipCheck,1,16,0.55,0.12,0.1129,169,0.531,0.151,24.7
RELIANCE,BPCL,Energy,5,Classical,Random,Carry,RollingCheck,0,16,0.57,0.1107,0.1062,157,0.555,0.115,17.9
RELIANCE,BPCL,Energy,5,Classical,Random,Carry,RollingCheck,1,16,0.57,0.0531,0.0473,178,0.55,0.131,16.8
RELIANCE,BPCL,Energy,5,Classical,Random,Carry,SkipCheck,0,16,0.74,0.1961,0.1827,230,0.454,0.108,19.7
RELIANCE,BPCL,Energy,5,Classical,Random,Carry,SkipCheck,1,16,0.35,0.1293,0.1102,176,0.518,0.164,17.4
RELIANCE,BPCL,Energy,5,Classical,Random,EOD_Flat,RollingCheck,0,16,0.52,0.0849,0.0832,187,0.558,0.128,21.6
RELIANCE,BPCL,Energy,5,Classical,Random,EOD_Flat,RollingCheck,1,16,0.56,0.0733,0.071,169,0.484,0.108,12.7
